"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","0.8832","0.8781","0.8835","0.8773","","0.59%"
"04/29/2025","0.8780","0.8755","0.8795","0.8755","","0.28%"
"04/28/2025","0.8755","0.8797","0.8827","0.8753","","-0.50%"
"04/25/2025","0.8799","0.8780","0.8838","0.8776","","0.22%"
"04/24/2025","0.8780","0.8838","0.8839","0.8773","","-0.66%"
"04/23/2025","0.8838","0.8756","0.8844","0.8741","","0.92%"
"04/22/2025","0.8757","0.8685","0.8759","0.8660","","0.84%"
"04/21/2025","0.8684","0.8782","0.8782","0.8640","","-1.06%"
"04/18/2025","0.8777","0.8798","0.8805","0.8773","","-0.24%"
"04/17/2025","0.8798","0.8776","0.8822","0.8764","","0.28%"
"04/16/2025","0.8773","0.8863","0.8865","0.8762","","-1.02%"
"04/15/2025","0.8863","0.8811","0.8878","0.8788","","0.59%"
"04/14/2025","0.8811","0.8859","0.8863","0.8753","","0.10%"
"04/11/2025","0.8802","0.8928","0.8938","0.8715","","-1.42%"
"04/10/2025","0.8929","0.9132","0.9139","0.8896","","-2.21%"
"04/09/2025","0.9131","0.9126","0.9164","0.9013","","0.05%"
"04/08/2025","0.9126","0.9171","0.9185","0.9097","","-0.48%"
"04/07/2025","0.9170","0.9178","0.9189","0.9049","","0.47%"
"04/04/2025","0.9127","0.9048","0.9154","0.9002","","0.90%"
"04/03/2025","0.9046","0.9212","0.9255","0.8972","","-1.79%"
"04/02/2025","0.9211","0.9265","0.9277","0.9153","","-0.57%"
"04/01/2025","0.9264","0.9245","0.9279","0.9233","","0.22%"
"03/31/2025","0.9244","0.9241","0.9273","0.9217","","0.11%"
"03/28/2025","0.9234","0.9258","0.9290","0.9221","","-0.26%"
"03/27/2025","0.9258","0.9300","0.9318","0.9241","","-0.43%"
"03/26/2025","0.9298","0.9267","0.9308","0.9257","","0.35%"
"03/25/2025","0.9266","0.9258","0.9280","0.9233","","0.09%"
"03/24/2025","0.9258","0.9252","0.9276","0.9209","","0.13%"
"03/21/2025","0.9246","0.9215","0.9262","0.9207","","0.36%"
"03/20/2025","0.9213","0.9172","0.9247","0.9159","","0.46%"
"03/19/2025","0.9171","0.9136","0.9208","0.9135","","0.38%"
"03/18/2025","0.9136","0.9155","0.9181","0.9128","","-0.19%"
"03/17/2025","0.9153","0.9194","0.9201","0.9149","","-0.39%"
"03/14/2025","0.9189","0.9215","0.9233","0.9164","","-0.27%"
"03/13/2025","0.9214","0.9185","0.9241","0.9176","","0.33%"
"03/12/2025","0.9184","0.9158","0.9196","0.9148","","0.28%"
"03/11/2025","0.9158","0.9230","0.9235","0.9135","","-0.76%"
"03/10/2025","0.9228","0.9230","0.9255","0.9196","","-0.01%"
"03/07/2025","0.9229","0.9273","0.9276","0.9183","","-0.45%"
"03/06/2025","0.9271","0.9268","0.9290","0.9213","","0.04%"
"03/05/2025","0.9267","0.9411","0.9433","0.9262","","-1.51%"
"03/04/2025","0.9409","0.9536","0.9550","0.9409","","-1.30%"
"03/03/2025","0.9533","0.9632","0.9632","0.9520","","-1.08%"
"02/28/2025","0.9637","0.9616","0.9653","0.9596","","0.23%"
"02/27/2025","0.9615","0.9538","0.9618","0.9530","","0.82%"
"02/26/2025","0.9537","0.9512","0.9546","0.9498","","0.27%"
"02/25/2025","0.9511","0.9553","0.9564","0.9507","","-0.43%"
"02/24/2025","0.9552","0.9530","0.9567","0.9498","","-0.08%"
"02/21/2025","0.9560","0.9523","0.9571","0.9518","","0.41%"
"02/20/2025","0.9521","0.9596","0.9599","0.9520","","-0.76%"
"02/19/2025","0.9594","0.9576","0.9615","0.9558","","0.24%"
"02/18/2025","0.9571","0.9538","0.9583","0.9535","","0.36%"
"02/17/2025","0.9537","0.9534","0.9554","0.9517","","0.09%"
"02/14/2025","0.9528","0.9557","0.9573","0.9511","","-0.29%"
"02/13/2025","0.9556","0.9627","0.9640","0.9553","","-0.78%"
"02/12/2025","0.9631","0.9652","0.9694","0.9588","","-0.20%"
"02/11/2025","0.9650","0.9702","0.9716","0.9633","","-0.52%"
