"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2025","149.80","149.51","149.89","148.08","","0.20%"
"03/03/2025","149.50","150.49","151.34","149.10","","-0.73%"
"02/28/2025","150.60","149.81","151.00","149.10","","0.53%"
"02/27/2025","149.80","149.10","150.20","148.74","","0.48%"
"02/26/2025","149.08","149.04","149.90","148.64","","0.04%"
"02/25/2025","149.02","149.72","150.31","148.57","","-0.46%"
"02/24/2025","149.71","149.39","149.89","148.85","","0.28%"
"02/21/2025","149.29","149.64","150.75","148.92","","-0.23%"
"02/20/2025","149.63","151.48","151.48","149.39","","-1.21%"
"02/19/2025","151.47","152.07","152.32","151.24","","-0.38%"
"02/18/2025","152.05","151.50","152.25","151.23","","0.36%"
"02/17/2025","151.50","152.24","152.41","151.33","","-0.54%"
"02/14/2025","152.33","152.80","153.16","152.02","","-0.30%"
"02/13/2025","152.79","154.42","154.68","152.70","","-1.05%"
"02/12/2025","154.41","152.49","154.81","152.38","","1.27%"
"02/11/2025","152.48","152.00","152.63","151.64","","0.32%"
"02/10/2025","151.99","151.26","152.55","151.25","","0.39%"
"02/07/2025","151.40","151.41","152.42","150.94","","-0.03%"
"02/06/2025","151.44","152.61","152.90","151.24","","-0.76%"
"02/05/2025","152.60","154.34","154.47","152.11","","-1.12%"
"02/04/2025","154.33","154.76","155.53","154.17","","-0.27%"
"02/03/2025","154.75","154.94","155.89","154.01","","-0.28%"
"01/31/2025","155.18","154.30","155.24","153.92","","0.57%"
"01/30/2025","154.30","155.23","155.25","153.79","","-0.58%"
"01/29/2025","155.20","155.54","155.81","154.94","","-0.21%"
"01/28/2025","155.52","154.51","156.00","154.49","","0.67%"
"01/27/2025","154.49","155.72","156.26","153.72","","-0.96%"
"01/24/2025","155.98","156.06","156.58","154.85","","-0.04%"
"01/23/2025","156.05","156.50","156.76","155.74","","-0.31%"
"01/22/2025","156.53","155.51","156.72","155.35","","0.66%"
"01/21/2025","155.50","155.61","156.21","154.77","","-0.06%"
"01/20/2025","155.59","156.32","156.60","155.40","","-0.45%"
"01/17/2025","156.30","155.17","156.39","154.98","","0.76%"
"01/16/2025","155.12","156.48","156.54","155.10","","-0.86%"
"01/15/2025","156.47","157.98","158.10","155.95","","-0.94%"
"01/14/2025","157.96","157.48","158.23","157.11","","0.31%"
"01/13/2025","157.47","157.78","157.98","156.90","","-0.14%"
"01/10/2025","157.69","158.12","158.89","157.22","","-0.28%"
"01/09/2025","158.14","158.36","158.40","157.57","","-0.13%"
"01/08/2025","158.35","158.05","158.57","157.89","","0.21%"
"01/07/2025","158.02","157.63","158.43","157.36","","0.27%"
"01/06/2025","157.60","157.24","157.98","156.24","","0.21%"
"01/03/2025","157.27","157.55","157.57","156.88","","-0.16%"
"01/02/2025","157.52","157.26","157.87","156.44","","0.41%"
"01/01/2025","156.87","157.20","157.25","156.87","","-0.20%"
"12/31/2024","157.18","156.85","157.61","156.01","","0.22%"
"12/30/2024","156.83","157.74","158.08","156.67","","-0.63%"
"12/27/2024","157.82","157.89","158.01","157.35","","-0.11%"
"12/26/2024","158.00","157.22","158.11","157.07","","0.38%"
"12/25/2024","157.40","157.17","157.51","156.98","","0.14%"
"12/24/2024","157.18","157.14","157.44","156.89","","0.01%"
"12/23/2024","157.16","156.48","157.32","156.33","","0.48%"
"12/20/2024","156.41","157.45","157.94","155.95","","-0.65%"
"12/19/2024","157.43","154.82","157.82","154.43","","1.70%"
"12/18/2024","154.80","153.45","154.87","153.32","","0.86%"
"12/17/2024","153.48","154.12","154.36","153.15","","-0.43%"
"12/16/2024","154.15","153.64","154.49","153.32","","0.33%"
"12/13/2024","153.64","152.63","153.81","152.45","","0.67%"
"12/12/2024","152.62","152.45","152.80","151.80","","0.11%"
"12/11/2024","152.45","151.97","152.82","151.01","","0.33%"
"12/10/2024","151.95","151.17","152.19","150.89","","0.50%"
"12/09/2024","151.19","150.07","151.36","149.69","","0.77%"
"12/06/2024","150.03","150.11","150.71","149.36","","-0.03%"
"12/05/2024","150.08","150.61","150.79","149.65","","-0.35%"
"12/04/2024","150.60","149.60","151.24","149.52","","0.68%"
"12/03/2024","149.59","149.61","150.25","148.64","","0.00%"
"12/02/2024","149.59","149.75","150.76","149.07","","-0.11%"
"11/29/2024","149.75","151.55","151.57","149.47","","-1.18%"
"11/28/2024","151.54","151.07","152.01","150.92","","0.29%"
"11/27/2024","151.10","153.07","153.25","150.45","","-1.31%"
"11/26/2024","153.10","154.20","154.50","152.99","","-0.72%"
"11/25/2024","154.21","154.26","154.75","153.55","","-0.34%"
"11/22/2024","154.74","154.54","155.02","153.97","","0.15%"
"11/21/2024","154.51","155.43","155.43","153.91","","-0.59%"
"11/20/2024","155.43","154.67","155.90","154.52","","0.50%"
"11/19/2024","154.65","154.70","154.81","153.29","","0.00%"
"11/18/2024","154.65","154.42","155.37","153.85","","0.20%"
"11/15/2024","154.34","156.28","156.76","153.86","","-1.22%"
"11/14/2024","156.25","155.46","156.44","155.33","","0.51%"
"11/13/2024","155.45","154.62","155.64","154.34","","0.55%"
"11/12/2024","154.60","153.71","154.94","153.41","","0.58%"
"11/11/2024","153.71","152.68","153.96","152.64","","0.71%"
"11/08/2024","152.63","152.94","153.37","152.14","","-0.20%"
"11/07/2024","152.93","154.64","154.72","152.70","","-1.10%"
"11/06/2024","154.63","151.62","154.73","151.29","","2.00%"
"11/05/2024","151.60","152.13","152.57","151.33","","-0.35%"
"11/04/2024","152.13","152.98","153.05","151.53","","-0.56%"
"11/01/2024","152.98","152.04","153.11","151.78","","0.62%"
"10/31/2024","152.03","153.42","153.58","151.84","","-0.90%"
"10/30/2024","153.41","153.36","153.51","152.79","","0.04%"
"10/29/2024","153.35","153.29","153.88","152.75","","0.05%"
"10/28/2024","153.28","152.36","153.88","152.32","","0.64%"
"10/25/2024","152.30","151.83","152.39","151.45","","0.32%"
"10/24/2024","151.82","152.73","152.83","151.55","","-0.61%"
"10/23/2024","152.75","151.07","153.20","151.02","","1.12%"
"10/22/2024","151.06","150.84","151.21","150.50","","0.15%"
"10/21/2024","150.83","149.48","150.89","149.08","","0.88%"
"10/18/2024","149.52","150.21","150.29","149.36","","-0.45%"
"10/17/2024","150.20","149.64","150.34","149.23","","0.39%"
"10/16/2024","149.62","149.20","149.84","148.87","","0.29%"
"10/15/2024","149.19","149.76","149.84","148.85","","-0.37%"
"10/14/2024","149.75","149.14","150.01","149.07","","0.42%"
"10/11/2024","149.13","148.57","149.29","148.40","","0.38%"
"10/10/2024","148.56","149.31","149.56","148.35","","-0.49%"
"10/09/2024","149.29","148.20","149.38","148.01","","0.74%"
"10/08/2024","148.19","148.19","148.39","147.34","","0.01%"
"10/07/2024","148.18","148.73","149.14","147.85","","-0.36%"
"10/04/2024","148.71","146.94","149.01","145.92","","1.22%"
"10/03/2024","146.92","146.47","147.25","146.29","","0.31%"
